Simulation,Agent,Episode,Reward
0,0,76,22.0
0,1,76,14.0
0,2,76,17.0
0,3,76,38.0
0,4,76,33.0
0,0,77,13.0
0,1,77,13.0
0,2,77,44.0
0,3,77,11.0
0,4,77,12.0
0,0,78,13.0
0,1,78,25.0
0,2,78,14.0
0,3,78,24.0
0,4,78,42.0
0,0,79,27.0
0,1,79,20.0
0,2,79,22.0
0,3,79,23.0
0,4,79,14.0
0,0,80,65.0
0,1,80,18.0
0,2,80,18.0
0,3,80,9.0
0,4,80,33.0
0,0,81,15.0
0,1,81,14.0
0,2,81,9.0
0,3,81,18.0
0,4,81,9.0
0,0,82,17.0
0,1,82,11.0
0,2,82,32.0
0,3,82,14.0
0,4,82,21.0
0,0,83,56.0
0,1,83,21.0
0,2,83,13.0
0,3,83,22.0
0,4,83,20.0
0,0,84,23.0
0,1,84,35.0
0,2,84,34.0
0,3,84,15.0
0,4,84,12.0
0,0,85,19.0
0,1,85,14.0
0,2,85,14.0
0,3,85,12.0
0,4,85,12.0
0,0,86,40.0
0,1,86,20.0
0,2,86,14.0
0,3,86,21.0
0,4,86,14.0
0,0,87,26.0
0,1,87,18.0
0,2,87,21.0
0,3,87,14.0
0,4,87,14.0
0,0,88,14.0
0,1,88,12.0
0,2,88,68.0
0,3,88,16.0
0,4,88,16.0
0,0,89,14.0
0,1,89,11.0
0,2,89,16.0
0,3,89,35.0
0,4,89,22.0
0,0,90,17.0
0,1,90,18.0
0,2,90,15.0
0,3,90,21.0
0,4,90,13.0
0,0,91,24.0
0,1,91,13.0
0,2,91,38.0
0,3,91,28.0
0,4,91,32.0
0,0,92,11.0
0,1,92,24.0
0,2,92,23.0
0,3,92,18.0
0,4,92,28.0
0,0,93,22.0
0,1,93,21.0
0,2,93,10.0
0,3,93,22.0
0,4,93,20.0
0,0,94,42.0
0,1,94,12.0
0,2,94,30.0
0,3,94,18.0
0,4,94,59.0
0,0,95,18.0
0,1,95,88.0
0,2,95,13.0
0,3,95,15.0
0,4,95,36.0
0,0,96,22.0
0,1,96,19.0
0,2,96,40.0
0,3,96,20.0
0,4,96,37.0
0,0,97,18.0
0,1,97,44.0
0,2,97,19.0
0,3,97,50.0
0,4,97,10.0
0,0,98,12.0
0,1,98,14.0
0,2,98,11.0
0,3,98,13.0
0,4,98,22.0
0,0,99,20.0
0,1,99,22.0
0,2,99,19.0
0,3,99,14.0
0,4,99,47.0
0,0,100,10.0
0,1,100,33.0
0,2,100,19.0
0,3,100,20.0
0,4,100,11.0
0,0,101,17.0
0,1,101,25.0
0,2,101,15.0
0,3,101,14.0
0,4,101,14.0
0,0,102,19.0
0,1,102,22.0
0,2,102,28.0
0,3,102,23.0
0,4,102,24.0
0,0,103,13.0
0,1,103,33.0
0,2,103,18.0
0,3,103,29.0
0,4,103,29.0
0,0,104,18.0
0,1,104,32.0
0,2,104,20.0
0,3,104,11.0
0,4,104,46.0
0,0,105,12.0
0,1,105,17.0
0,2,105,15.0
0,3,105,32.0
0,4,105,41.0
0,0,106,12.0
0,1,106,34.0
0,2,106,18.0
0,3,106,21.0
0,4,106,25.0
0,0,107,21.0
0,1,107,31.0
0,2,107,49.0
0,3,107,14.0
0,4,107,14.0
0,0,108,18.0
0,1,108,16.0
0,2,108,28.0
0,3,108,20.0
0,4,108,27.0
0,0,109,17.0
0,1,109,24.0
0,2,109,29.0
0,3,109,16.0
0,4,109,49.0
0,0,110,21.0
0,1,110,16.0
0,2,110,15.0
0,3,110,10.0
0,4,110,24.0
0,0,111,20.0
0,1,111,16.0
0,2,111,11.0
0,3,111,15.0
0,4,111,12.0
0,0,112,21.0
0,1,112,18.0
0,2,112,9.0
0,3,112,17.0
0,4,112,13.0
0,0,113,11.0
0,1,113,19.0
0,2,113,23.0
0,3,113,12.0
0,4,113,18.0
0,0,114,13.0
0,1,114,14.0
0,2,114,10.0
0,3,114,16.0
0,4,114,51.0
0,0,115,23.0
0,1,115,16.0
0,2,115,15.0
0,3,115,13.0
0,4,115,11.0
0,0,116,19.0
0,1,116,33.0
0,2,116,14.0
0,3,116,18.0
0,4,116,16.0
0,0,117,14.0
0,1,117,28.0
0,2,117,24.0
0,3,117,13.0
0,4,117,20.0
0,0,118,13.0
0,1,118,20.0
0,2,118,13.0
0,3,118,16.0
0,4,118,56.0
0,0,119,23.0
0,1,119,12.0
0,2,119,20.0
0,3,119,12.0
0,4,119,26.0
0,0,120,10.0
0,1,120,14.0
0,2,120,11.0
0,3,120,12.0
0,4,120,13.0
0,0,121,33.0
0,1,121,14.0
0,2,121,28.0
0,3,121,16.0
0,4,121,54.0
0,0,122,22.0
0,1,122,15.0
0,2,122,17.0
0,3,122,25.0
0,4,122,26.0
0,0,123,22.0
0,1,123,18.0
0,2,123,28.0
0,3,123,13.0
0,4,123,14.0
0,0,124,16.0
0,1,124,15.0
0,2,124,21.0
0,3,124,10.0
0,4,124,30.0
0,0,125,10.0
0,1,125,15.0
0,2,125,16.0
0,3,125,11.0
0,4,125,17.0
0,0,126,11.0
0,1,126,47.0
0,2,126,65.0
0,3,126,19.0
0,4,126,11.0
0,0,127,35.0
0,1,127,34.0
0,2,127,20.0
0,3,127,20.0
0,4,127,14.0
0,0,128,21.0
0,1,128,15.0
0,2,128,14.0
0,3,128,18.0
0,4,128,10.0
0,0,129,16.0
0,1,129,23.0
0,2,129,11.0
0,3,129,24.0
0,4,129,24.0
0,0,130,34.0
0,1,130,12.0
0,2,130,21.0
0,3,130,17.0
0,4,130,33.0
0,0,131,41.0
0,1,131,20.0
0,2,131,24.0
0,3,131,20.0
0,4,131,24.0
0,0,132,23.0
0,1,132,19.0
0,2,132,11.0
0,3,132,9.0
0,4,132,40.0
0,0,133,32.0
0,1,133,26.0
0,2,133,12.0
0,3,133,9.0
0,4,133,29.0
0,0,134,28.0
0,1,134,17.0
0,2,134,9.0
0,3,134,75.0
0,4,134,16.0
0,0,135,14.0
0,1,135,18.0
0,2,135,11.0
0,3,135,27.0
0,4,135,11.0
0,0,136,31.0
0,1,136,26.0
0,2,136,35.0
0,3,136,27.0
0,4,136,19.0
0,0,137,10.0
0,1,137,54.0
0,2,137,11.0
0,3,137,28.0
0,4,137,20.0
0,0,138,22.0
0,1,138,15.0
0,2,138,11.0
0,3,138,16.0
0,4,138,12.0
0,0,139,14.0
0,1,139,13.0
0,2,139,33.0
0,3,139,16.0
0,4,139,20.0
0,0,140,46.0
0,1,140,21.0
0,2,140,31.0
0,3,140,14.0
0,4,140,18.0
0,0,141,16.0
0,1,141,28.0
0,2,141,8.0
0,3,141,14.0
0,4,141,22.0
0,0,142,25.0
0,1,142,13.0
0,2,142,11.0
0,3,142,15.0
0,4,142,33.0
0,0,143,23.0
0,1,143,13.0
0,2,143,48.0
0,3,143,15.0
0,4,143,34.0
0,0,144,19.0
0,1,144,13.0
0,2,144,12.0
0,3,144,10.0
0,4,144,17.0
0,0,145,12.0
0,1,145,13.0
0,2,145,31.0
0,3,145,32.0
0,4,145,22.0
0,0,146,19.0
0,1,146,24.0
0,2,146,12.0
0,3,146,11.0
0,4,146,23.0
0,0,147,18.0
0,1,147,10.0
0,2,147,28.0
0,3,147,16.0
0,4,147,21.0
0,0,148,17.0
0,1,148,26.0
0,2,148,17.0
0,3,148,30.0
0,4,148,11.0
0,0,149,10.0
0,1,149,25.0
0,2,149,9.0
0,3,149,15.0
0,4,149,11.0
0,0,150,43.0
0,1,150,18.0
0,2,150,16.0
0,3,150,30.0
0,4,150,37.0
0,0,151,37.0
0,1,151,16.0
0,2,151,15.0
0,3,151,15.0
0,4,151,21.0
0,0,152,9.0
0,1,152,51.0
0,2,152,11.0
0,3,152,17.0
0,4,152,65.0
0,0,153,13.0
0,1,153,21.0
0,2,153,16.0
0,3,153,23.0
0,4,153,16.0
0,0,154,51.0
0,1,154,15.0
0,2,154,15.0
0,3,154,17.0
0,4,154,22.0
0,0,155,17.0
0,1,155,17.0
0,2,155,12.0
0,3,155,18.0
0,4,155,20.0
0,0,156,11.0
0,1,156,49.0
0,2,156,16.0
0,3,156,12.0
0,4,156,65.0
0,0,157,11.0
0,1,157,9.0
0,2,157,12.0
0,3,157,20.0
0,4,157,14.0
0,0,158,19.0
0,1,158,19.0
0,2,158,11.0
0,3,158,15.0
0,4,158,23.0
0,0,159,26.0
0,1,159,46.0
0,2,159,21.0
0,3,159,17.0
0,4,159,16.0
0,0,160,16.0
0,1,160,16.0
0,2,160,25.0
0,3,160,10.0
0,4,160,15.0
0,0,161,28.0
0,1,161,25.0
0,2,161,42.0
0,3,161,17.0
0,4,161,25.0
0,0,162,24.0
0,1,162,18.0
0,2,162,13.0
0,3,162,10.0
0,4,162,13.0
0,0,163,17.0
0,1,163,29.0
0,2,163,12.0
0,3,163,48.0
0,4,163,24.0
0,0,164,14.0
0,1,164,19.0
0,2,164,46.0
0,3,164,17.0
0,4,164,18.0
0,0,165,17.0
0,1,165,24.0
0,2,165,19.0
0,3,165,16.0
0,4,165,17.0
0,0,166,38.0
0,1,166,39.0
0,2,166,15.0
0,3,166,15.0
0,4,166,39.0
0,0,167,18.0
0,1,167,15.0
0,2,167,16.0
0,3,167,9.0
0,4,167,12.0
0,0,168,13.0
0,1,168,22.0
0,2,168,12.0
0,3,168,32.0
0,4,168,25.0
0,0,169,17.0
0,1,169,40.0
0,2,169,17.0
0,3,169,13.0
0,4,169,22.0
0,0,170,20.0
0,1,170,12.0
0,2,170,12.0
0,3,170,28.0
0,4,170,56.0
0,0,171,11.0
0,1,171,34.0
0,2,171,13.0
0,3,171,16.0
0,4,171,20.0
0,0,172,34.0
0,1,172,12.0
0,2,172,13.0
0,3,172,35.0
0,4,172,14.0
0,0,173,28.0
0,1,173,24.0
0,2,173,20.0
0,3,173,15.0
0,4,173,13.0
