Simulation,Agent,Episode,Reward
0,3,101,12.0
0,4,101,15.0
0,0,102,17.0
0,1,102,30.0
0,2,102,12.0
0,3,102,16.0
0,4,102,20.0
0,0,103,31.0
0,1,103,36.0
0,2,103,14.0
0,3,103,10.0
0,4,103,11.0
0,0,104,12.0
0,1,104,17.0
0,2,104,32.0
0,3,104,15.0
0,4,104,20.0
0,0,105,10.0
0,1,105,13.0
0,2,105,16.0
0,3,105,9.0
0,4,105,27.0
0,0,106,39.0
0,1,106,34.0
0,2,106,18.0
0,3,106,9.0
0,4,106,19.0
0,0,107,20.0
0,1,107,18.0
0,2,107,17.0
0,3,107,28.0
0,4,107,21.0
0,0,108,13.0
0,1,108,20.0
0,2,108,10.0
0,3,108,30.0
0,4,108,49.0
0,0,109,14.0
0,1,109,15.0
0,2,109,82.0
0,3,109,29.0
0,4,109,20.0
0,0,110,10.0
0,1,110,18.0
0,2,110,24.0
0,3,110,12.0
0,4,110,79.0
0,0,111,25.0
0,1,111,17.0
0,2,111,15.0
0,3,111,20.0
0,4,111,25.0
0,0,112,23.0
0,1,112,20.0
0,2,112,14.0
0,3,112,14.0
0,4,112,16.0
0,0,113,17.0
0,1,113,16.0
0,2,113,27.0
0,3,113,24.0
0,4,113,12.0
0,0,114,16.0
0,1,114,26.0
0,2,114,39.0
0,3,114,14.0
0,4,114,26.0
0,0,115,13.0
0,1,115,50.0
0,2,115,18.0
0,3,115,9.0
0,4,115,17.0
0,0,116,13.0
0,1,116,16.0
0,2,116,22.0
0,3,116,13.0
0,4,116,17.0
0,0,117,13.0
0,1,117,29.0
0,2,117,11.0
0,3,117,14.0
0,4,117,32.0
0,0,118,22.0
0,1,118,23.0
0,2,118,15.0
0,3,118,22.0
0,4,118,27.0
0,0,119,19.0
0,1,119,27.0
0,2,119,14.0
0,3,119,13.0
0,4,119,15.0
0,0,120,23.0
0,1,120,11.0
0,2,120,11.0
0,3,120,17.0
0,4,120,14.0
0,0,121,31.0
0,1,121,26.0
0,2,121,18.0
0,3,121,22.0
0,4,121,27.0
0,0,122,14.0
0,1,122,15.0
0,2,122,14.0
0,3,122,25.0
0,4,122,19.0
0,0,123,10.0
0,1,123,13.0
0,2,123,19.0
0,3,123,63.0
0,4,123,14.0
0,0,124,60.0
0,1,124,15.0
0,2,124,20.0
0,3,124,19.0
0,4,124,33.0
0,0,125,8.0
0,1,125,37.0
0,2,125,19.0
0,3,125,18.0
0,4,125,9.0
0,0,126,13.0
0,1,126,22.0
0,2,126,24.0
0,3,126,12.0
0,4,126,17.0
0,0,127,12.0
0,1,127,13.0
0,2,127,14.0
0,3,127,18.0
0,4,127,11.0
0,0,128,16.0
0,1,128,25.0
0,2,128,20.0
0,3,128,10.0
0,4,128,17.0
0,0,129,14.0
0,1,129,11.0
0,2,129,37.0
0,3,129,61.0
0,4,129,14.0
0,0,130,12.0
0,1,130,22.0
0,2,130,13.0
0,3,130,11.0
0,4,130,21.0
0,0,131,28.0
0,1,131,59.0
